instruction,response,output,prompt,history,summary,type,his_len,i_tone,o_tone,r_tone
By the emergency room of hamot,"Hello, I'm dispatcher from the police department.","yes, be right there","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: By the emergency room of hamot
Dispatcher:",[],,SafeRide&SafeWalk,8,,92.27,
How long?,10 minutes.,# rides ahead of you,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: How long?
Dispatcher:",[],,SafeRide&SafeWalk,1,,,
Canceled,Dispatcher,ok thank you,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Canceled
Dispatcher:",[],,SafeRide&SafeWalk,8,,99.0,
sorry,"Hello, this is the police. How can I help you?","no worries, hope you have a great night.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: sorry
Dispatcher:",[],,SafeRide&SafeWalk,10,,99.0,99.0
Where is that?,It's the parking lot next to the 7-11.,The parking lot in between [NORP] and tooker,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Hi there
Dispatcher: Hey, my apologies but traffic tonight has slowed us down [QUANTITY]. We should be there in about ## minutes. 
 User: Okay thank you
Dispatcher: our driver is outside 
 User: In the back of tooker?
Dispatcher: Sorry about the miss communication, we are at the san pablo parking lot. Would you mind meeting our driver there? 
 User: Where is that?
Dispatcher:","[['Hi there', 'Hey, my apologies but traffic tonight has slowed us down [QUANTITY]. We should be there in about ## minutes.'], ['Okay thank you', 'our driver is outside'], ['In the back of tooker?', 'Sorry about the miss communication, we are at the san pablo parking lot. Would you mind meeting our driver there?']]",,SafeRide&SafeWalk,13,,,
Okay,"Hello, this is the police department. How can I help you?",Our driver has arrived for you,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Okay
Dispatcher:",[],,SafeRide&SafeWalk,8,,,99.0
cancel it,cancel it,ok,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: how long?
Dispatcher: # ahead of you, at least ## minutes 
 User: cancel it
Dispatcher:","[['how long?', '# ahead of you, at least ## minutes']]",,SafeRide&SafeWalk,3,,,
Okay,I'm here to help you,"no one ahead of you, be right there","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: How long?
Dispatcher: just a few minutes 
 User: Okay
Dispatcher:","[['How long?', 'just a few minutes']]",,SafeRide&SafeWalk,3,,,99.0
Ok,so I'm gonna give you a few instructions,our driver is at the hassy parking lot now,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: And dropped off at [ACRONYM]
Dispatcher: okay it will probably be about a ##-## min wait right now 
 User: Ok
Dispatcher:","[['And dropped off at [ACRONYM]', 'okay it will probably be about a ##-## min wait right now']]",,SafeRide&SafeWalk,7,,,99.0
Thank you!,"no problem, just be sure to stay calm and not get scared","Express is on the way, please be watching for it to arrive.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: [ORG]? Just so we know
Dispatcher: hard to say, will try to keep you posted 
 User: Thank you!
Dispatcher:","[['[ORG]? Just so we know', 'hard to say, will try to keep you posted']]",,SafeRide&SafeWalk,5,99.0,,
Hello?,Hello.,where do you want to be picked up and dropped off at?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Hello?
Dispatcher:",[],,SafeRide&SafeWalk,3,99.0,99.0,
Okay**,"Hello, how can I help you?","Your driver is on the way, you can start making your way outside!","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Okay**
Dispatcher:",[],,SafeRide&SafeWalk,13,,,
Hi,"Hi, how can I help you?",hi,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Hi
Dispatcher:",[],,SafeRide&SafeWalk,7,99.0,72.45,
wearing a black jacket with a pink beanie! at the [ORG] station,at the [ORG] station,The # [ORG] station?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: wearing a black jacket with a pink beanie! at the [ORG] station
Dispatcher:",[],,SafeRide&SafeWalk,1,,99.0,
